1.4400901791,1.3157967876,-1.2035122210,-0.6497505517
1.4584596086,1.1207027485,-2.0854413062,0.6023948676
-0.2068208759,1.3489197311,1.8790699111,1.2806136753
-0.9256446828,0.2964697072,-0.8813041889,-0.1615412490
-0.0575853909,1.3592831591,-0.9037737426,0.1718168209
-1.0500134670,1.4238701323,0.5791859661,0.5941026740
0.4353737581,-1.1148819353,-0.5876174923,0.5841986495
-1.3812152699,0.0405908213,0.5172468748,0.4675027469
0.2850536572,nan,0.4186725376,0.0943702312
-0.8540917712,-0.3035673836,-1.3852897191,-1.8707177819
0.5089129206,-1.2129939210,-0.2221301843,0.8767079869
0.0700486630,0.5864322444,nan,0.2730923436
-1.1844493100,-0.7766883429,0.7830736879,-0.1483564380
1.1915219162,0.0307292800,-0.1213657275,0.7870997957
1.2002760775,-0.9643846926,0.4697314440,-1.3324049783
1.4454903303,-1.4927141547,-0.7042503483,0.0700451673
-0.3932062723,1.1241947623,1.9499632209,1.3380855513
-1.2395668576,-1.4452690546,0.6348146164,-1.4541770919
0.6320215806,0.5742250768,0.7726958249,nan
0.6689573537,0.2373771908,0.4390189412,nan
-0.7964039673,0.6593707323,0.3603945921,1.3324674058
0.6430205962,-0.2124109084,0.4024124900,-1.1537474509
0.7742155925,-0.3632436734,0.5636423150,-1.6708299353
nan,0.9870704483,0.3017998725,0.4205812831
-1.0083631141,-0.8337737950,-0.0448501879,0.3364901360
